day,month,year,name,bio,url
25,3,1538,Christopher Clavius,German mathematician and astronomer (d. 1612),https://en.wikipedia.org/wiki/Christopher_Clavius
25,3,1952,Antanas Mockus,"Colombian mathematician, philosopher, and politician, Mayor of Bogotá",https://en.wikipedia.org/wiki/Antanas_Mockus
26,3,1656,Nicolaas Hartsoeker,Dutch mathematician and physicist (d. 1725),https://en.wikipedia.org/wiki/Nicolaas_Hartsoeker
26,3,1773,Nathaniel Bowditch,American mathematician and navigator (d. 1838),https://en.wikipedia.org/wiki/Nathaniel_Bowditch
26,3,1859,Adolf Hurwitz,German-Swiss mathematician and academic (d. 1919),https://en.wikipedia.org/wiki/Adolf_Hurwitz
26,3,1913,Paul Erdős,Hungarian-Polish mathematician and academic (d. 1996),https://en.wikipedia.org/wiki/Paul_Erd%C5%91s
26,3,1914,Toru Kumon,Japanese mathematician and academic (d. 1995),https://en.wikipedia.org/wiki/Toru_Kumon
26,3,1922,Guido Stampacchia,Italian mathematician and academic (d. 1978),https://en.wikipedia.org/wiki/Guido_Stampacchia
27,3,1857,Karl Pearson,"English mathematician, eugenicist, and academic (d. 1936)",https://en.wikipedia.org/wiki/Karl_Pearson
27,3,1897,Douglas Hartree,English mathematician and physicist (d. 1958),https://en.wikipedia.org/wiki/Douglas_Hartree
27,3,1924,Margaret K. Butler,American mathematician and computer programmer (d. 2013),https://en.wikipedia.org/wiki/Margaret_K._Butler
28,3,1847,Gyula Farkas,Hungarian mathematician and physicist (d. 1930),https://en.wikipedia.org/wiki/Gyula_Farkas_(natural_scientist)
28,3,1928,Alexander Grothendieck,German-French mathematician and theorist (d. 2014),https://en.wikipedia.org/wiki/Alexander_Grothendieck
29,3,1873,Tullio Levi-Civita,Italian mathematician and academic (d. 1941),https://en.wikipedia.org/wiki/Tullio_Levi-Civita
29,3,1896,Wilhelm Ackermann,German mathematician (d. 1962),https://en.wikipedia.org/wiki/Wilhelm_Ackermann
29,3,1918,Lê Văn Thiêm,Vietnamese mathematician and academic (d. 1991),https://en.wikipedia.org/wiki/L%C3%AA_V%C4%83n_Thi%C3%AAm
29,3,1951,David Cheriton,"Canadian computer scientist, mathematician and businessman",https://en.wikipedia.org/wiki/David_Cheriton
30,3,1606,Vincentio Reinieri,Italian mathematician and astronomer (d. 1647),https://en.wikipedia.org/wiki/Vincentio_Reinieri
30,3,1892,Stefan Banach,Polish mathematician and academic (d. 1945),https://en.wikipedia.org/wiki/Stefan_Banach
30,3,1910,Józef Marcinkiewicz,"Polish soldier, mathematician, and academic (d. 1940)",https://en.wikipedia.org/wiki/J%C3%B3zef_Marcinkiewicz
